p,bitflip_PL_montecarlo,bitflip_PL_exact,bitflip_PL_95CI_halfwidth,surface_PL_montecarlo,surface_PL_exact,surface_PL_95CI_halfwidth
0.001,5e-06,1.3327407407407408e-06,1.3721118875101645e-05,1e-05,1.5946451195676472e-05,1.6861315882032147e-05
0.002,0.0,5.328592592592593e-06,9.6038155299113e-06,7.5e-05,6.357225515124327e-05,3.914932810902349e-05
0.005,3.5e-05,3.325925925925927e-05,2.7648940635620535e-05,0.00035,0.0003933466534322077,8.25373983566124e-05
0.01,0.00021,0.00013274074074074078,6.422547219823633e-05,0.00166,0.001547172920902656,0.0001786710969115898
0.02,0.000525,0.0005285925925925928,0.00010085014569966178,0.00624,0.005983703067010215,0.00034525014736239043
0.05,0.00333,0.0032592592592592595,0.0002526646567008372,0.034555,0.03378232197612153,0.0008005403067015828
0.08,0.008335,0.008229925925925929,0.0003985603992658312,0.077415,0.07805224218877548,0.001171286356776614
0.1,0.012435,0.01274074074074074,0.0004857618076399301,0.113815,0.11384544612264394,0.0013918903328120544
0.15,0.028355,0.027999999999999997,0.0007275104098241911,0.215485,0.21537369599999984,0.0018019720387116363
0.2,0.04826,0.04859259259259259,0.0009393085009171429,0.322095,0.32145850708448925,0.0020479243853208716
0.25,0.074915,0.07407407407407407,0.001153779952960536,0.421515,0.42134075090179346,0.0021641610482345977
0.3,0.102875,0.10399999999999998,0.0013314517518648768,0.508745,0.5088990719999993,0.0021909903900072967
